Year,all_nba,Player
2017.0,1,LeBron James
2017.0,1,Kawhi Leonard
2017.0,1,Anthony Davis
2017.0,1,James Harden
2017.0,1,Russell Westbrook
2017.0,2,Giannis Antetokounmpo
2017.0,2,Kevin Durant
2017.0,2,Rudy Gobert
2017.0,2,Stephen Curry
2017.0,2,Isaiah Thomas
2017.0,3,Draymond Green
2017.0,3,Jimmy Butler
2017.0,3,DeAndre Jordan
2017.0,3,John Wall
2017.0,3,DeMar DeRozan
2016.0,1,LeBron James
2016.0,1,Kawhi Leonard
2016.0,1,DeAndre Jordan
2016.0,1,Stephen Curry
2016.0,1,Russell Westbrook
2016.0,2,Kevin Durant
2016.0,2,Draymond Green
2016.0,2,DeMarcus Cousins
2016.0,2,Chris Paul
2016.0,2,Damian Lillard
2016.0,3,Paul George
2016.0,3,LaMarcus Aldridge
2016.0,3,Andre Drummond
2016.0,3,Klay Thompson
2016.0,3,Kyle Lowry
2015.0,1,LeBron James
2015.0,1,Anthony Davis
2015.0,1,Marc Gasol
2015.0,1,Stephen Curry
2015.0,1,James Harden
2015.0,2,LaMarcus Aldridge
2015.0,2,DeMarcus Cousins
2015.0,2,Pau Gasol
2015.0,2,Russell Westbrook
2015.0,2,Chris Paul
2015.0,3,Blake Griffin
2015.0,3,Tim Duncan
2015.0,3,DeAndre Jordan
2015.0,3,Klay Thompson
2015.0,3,Kyrie Irving
2014.0,1,Kevin Durant
2014.0,1,LeBron James
2014.0,1,Joakim Noah
2014.0,1,James Harden
2014.0,1,Chris Paul
2014.0,2,Blake Griffin
2014.0,2,Kevin Love
2014.0,2,Dwight Howard
2014.0,2,Stephen Curry
2014.0,2,Tony Parker
2014.0,3,Paul George
2014.0,3,LaMarcus Aldridge
2014.0,3,Al Jefferson
2014.0,3,Goran Dragic
2014.0,3,Damian Lillard
2013.0,1,LeBron James
2013.0,1,Kevin Durant
2013.0,1,Tim Duncan
2013.0,1,Kobe Bryant
2013.0,1,Chris Paul
2013.0,2,Carmelo Anthony
2013.0,2,Blake Griffin
2013.0,2,Marc Gasol
2013.0,2,Tony Parker
2013.0,2,Russell Westbrook
2013.0,3,David Lee
2013.0,3,Paul George
2013.0,3,Dwight Howard
2013.0,3,Dwyane Wade
2013.0,3,James Harden
2012.0,1,Kevin Durant
2012.0,1,LeBron James
2012.0,1,Dwight Howard
2012.0,1,Kobe Bryant
2012.0,1,Derrick Rose
2012.0,2,Kevin Love
2012.0,2,Blake Griffin
2012.0,2,Andrew Bynum
2012.0,2,Tony Parker
2012.0,2,Russell Westbrook
2012.0,3,Carmelo Anthony
2012.0,3,Dirk Nowitzki
